,Tweets
121,"b""Salman khan's driver was driving car in Lakhimpur Kheri??? @ajaymishrteni #bjp @BeingSalmanKhan @BJP4UP #FarmersProtest #FarmLaws_AgainstCommonMan"""
122,b'Idk why Mamta Banerjee is being projected as the sole leader of oppst... \xf0\x9f\x98\xa9'
123,"b""@rajasthanroyals KKR's jersey"""
124,b'Cooooooooooomeeeee on @Facebook @instagram @WhatsApp ...do something shitty...'
125,b'Dhoni and Morgan..both are liability to their team ..'
126,b'@WhatsApp @Twitter Hy'
127,b'Why it taking soooo long #MarkZuckerberg'
128,b'@chitraaum \xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x80 \xe0\xa4\xa1\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x87\xe0\xa4\xb5\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa4\xbe |'
129,"b""One of the worst time for @Eoin16 \nIf kkr wins he'll get another chance but if kkr loose then it's over for morgan atleast for 1 match .."""
130,b'Congress voters are like See where America is going their business..Hdi..democracy..and  when Bjp govt do privatisation..oh oh they are selling the country..hypocrites..Privatisation is one of the most effective way to counter corruption..c in Inc stands for corruption @INCIndia'
131,b'Siddhu sir maan gaye....\xf0\x9f\x98\x82. @INCIndia'
132,b'@Sahastranshu19 @KapilSibal @INCIndia @BJP4India \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xa9'
133,b'Where are other leaders of #G23 ?? Sleeping?'
134,b'Who is taking decisions in congress?? #SoniaGandhi who elected her as cong Prez?? CWC? Who made CWC? @RahulGandhi or #SoniaGandhi ? @INCIndia should stop talking about democracy... Because the party shits in the name of democracy #congprezelection'
135,"b""Congress....hmmmmmmm...\n@INCIndia is the new @cpimspeak as it failed miserably as a centre party when centre right @BJP4India came to power...what's wrong...gaining leftover comrades is the last hope of survival... #india @RahulGandhi @PMOIndia  #sibbal"""
136,"b""@ANI Even if we have to infiltrate india with Rohingyas will do that in order to save India's democracy...I guess he forgot that part"""
137,"b""@ANI What is the ideology of congress?? Your party is infiltrating..communist you're party leader is raising his voice for illegal immigrants from Bangladesh... #fraud #inc"""
138,b'Shame to the GoP of India...\n#shame #inc @RahulGandhi @INCIndia https://t.co/0qsMxjbtPl'
139,b'We know who... https://t.co/4gsR2SUeYe'
140,"b""Congress is no more centre-left....it's left of centre left ..\n#inc #KanhaiyaKumar @INCIndia @RahulGandhi"""
141,"b""So.... Rajasthan you're next #punjab #pilot @INCIndia @ashokgehlot51 @sherryontopp @RahulGandhi"""
142,b'Another state destroyed by congressman\n..@capt_amarinder @sherryontopp @INCIndia'
143,"b'Remove illegal mosques,temples and churches... #tehri #removetehrimosque'"
144,"b""@RubikaLiyaquat The purpose of bandh was loss of India ...so that the govt can to the negotiation table... That's how bandh works.."""
145,b'@INCIndia Itna diplomacy ab India ka 10th pass bacha bhi smjha gaya hai...lekin congress twitter handle..chalane wale ni smjhe..@INCIndia @RahulGandhi'
146,b'@ANI Naxals needs to live India...and go to Afghanistan..'
147,b'@RahulGandhi You fuxking Rohingya mullah supporter...'
148,b'Sick people should pack their bags and leave...#IStandWithAssamPolice'
149,b'Is anyone giving a damm about anything right now??? #taliban #pakistan'
150,b'Infiltrators in India will not be entertained... #assam #encroachment'
151,b'Kudos https://t.co/DMDhuPkERT'
152,b'Appreciable... Good work #salman.... connect people to world... #cinemas'
153,"b""Now as there is no funding for iron dome... #israel should now destroy #Hamas and it's allies"""
154,b'@AOC is bitch....'
155,b'@darensammy88 6 years ago there was no Taliban and Isi chief and pak foreign minister begging money for taliban... #terrorist #pcb'
156,"b""@SajSadiqCricket Hahahaha terrorist and Covid are different...I think pak can't stand this .\xf0\x9f\x98\x82 #shamepcb"""
157,b'@alok_bhatt @capt_amarinder \xf0\x9f\x98\x82'
158,b'@ashokgehlot51 \xe0\xa4\x9c\xe0\xa4\xac \xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x86\xe0\xa4\x8f\xe0\xa4\x97\xe0\xa5\x80 \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa4\xbe \xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\x8f\xe0\xa4\x97\xe0\xa4\xbe....'
159,"b""Just make Siddhu cm ...and face the allegations and prove them wrong...don't shit #inc @INCIndia"""
160,"b""@RahulGandhi Yeh dude .. Health workers can't for people to get vaccinated..\xf0\x9f\x98\x82jokes on you Mr.Gandhi"""
